,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Abyss Watchers (from Dark Souls 3),5Jk1j55dBmeB0BAW0RNdJB,Geoffplaysguitar,7MFTs8GyvCGiffAuvBPt7G,Abyss Watchers (from Dark Souls 3),2021-12-23,297596,False,1,34,2024-11-06,0.477,0.95,1,-6.568,1,0.053,3.13e-05,0.965,0.118,0.124,115.004,3,['video game music'],47,45599
1,Elder Scrolls: Oblivion,7aENwq13lwx4TLLNRDxr5P,Jeremy Soule,77yY2QmM6bYvjJ3y5L2R0v,The Greatest Video Game Music,2011-11-18,112761,False,13,38,2024-11-06,0.25,0.229,2,-15.153,0,0.0351,0.881,0.927,0.119,0.163,169.858,3,"['orchestral soundtrack', 'scorecore', 'video game music']",68,167640
2,"Uncharted, Drake's Fortune: Nate's Theme",53Lp7OESwvZmD9D4b4fMG6,Greg Edmonson,2O0YGVBPONB6lPJYxb0q3w,The Greatest Video Game Music,2011-11-18,112710,False,7,40,2024-11-06,0.199,0.16,6,-15.826,1,0.036,0.925,0.948,0.137,0.0391,114.581,3,['video game music'],41,8518
3,Chrono Trigger & Chrono Cross,2LEsvcwOgmkSAqVOc1m3AN,Nobuo Uematsu,3V79CTgRnsDdJSTqKitROv,Game Music,2012-10-23,546213,False,3,13,2024-11-06,0.261,0.336,7,-13.762,1,0.0511,0.51,0.626,0.133,0.17,93.7,3,"['chiptune', 'japanese classical', 'japanese vgm', 'orchestral soundtrack', 'video game music']",62,328871
4,Sometimes I Make Video Game Music,15fctJWfurPcHriPOsum3d,C418,4uFZsG1vXrPcvnZ4iSQyrx,Life Changing Moments Seem Minor in Pictures,2010-08-12,104500,False,15,16,2024-11-06,0.569,0.576,5,-9.655,1,0.0324,0.0197,0.966,0.0965,0.176,109.043,4,"['pixel', 'video game music']",74,1044163
5,Tavern Music,4x1LGP4zzzDEXhurR13knE,Inon Zur,5tzixIjD4uBPCqZTljYvQi,Dragon Age 2 (Original Video Game Soundtrack),2011-03-08,129987,False,7,40,2024-11-06,0.495,0.58,4,-11.381,0,0.0753,0.211,0.858,0.254,0.779,113.589,3,"['epicore', 'orchestral soundtrack', 'video game music']",50,45805
6,Halo 3: One Final Effort,3q81uuMbxNCZ3QrgR1BqE2,Martin O'Donnell,5oERdzrfb6kmNMzPNINZib,The Greatest Video Game Music,2011-11-18,244527,False,19,32,2024-11-06,0.465,0.574,9,-11.368,1,0.0342,0.244,0.72,0.122,0.196,124.903,4,"['scorecore', 'video game music']",58,101541
7,Final Fantasy: Main Theme,47lO43fv2mhm1irHW3gMHV,Nobuo Uematsu,3V79CTgRnsDdJSTqKitROv,The Greatest Video Game Music,2011-11-18,164341,False,17,33,2024-11-06,0.125,0.304,10,-13.972,1,0.0336,0.888,0.87,0.0947,0.0696,96.599,3,"['chiptune', 'japanese classical', 'japanese vgm', 'orchestral soundtrack', 'video game music']",62,328871
8,Fallout 3: Theme,7rUa1vYP9ahdfHKyrtrsKj,Inon Zur,5tzixIjD4uBPCqZTljYvQi,The Greatest Video Game Music,2011-11-18,142079,False,20,30,2024-11-06,0.401,0.229,0,-19.556,0,0.0371,0.832,0.925,0.125,0.0535,124.159,4,"['epicore', 'orchestral soundtrack', 'video game music']",50,45805
9,Beyond the Dawn,1alyWxibSGkmwbwZYy9Hhe,Motoi Sakuraba,1DdhScDGl9AceKnbvgkFgz,TALES OF ARISE - Beyond the Dawn Original Soundtrack,2023-11-09,97029,False,1,22,2024-11-06,0.227,0.327,9,-10.358,0,0.0416,0.447,0.786,0.311,0.105,119.416,4,"['japanese vgm', 'video game music']",48,46330
10,Final Fantasy,3I59vtolLIBWdc3fRXNU9p,Nobuo Uematsu,3V79CTgRnsDdJSTqKitROv,Game Music,2012-10-23,709373,False,6,11,2024-11-06,0.25,0.113,7,-17.215,1,0.0397,0.812,0.811,0.113,0.111,75.252,4,"['chiptune', 'japanese classical', 'japanese vgm', 'orchestral soundtrack', 'video game music']",62,328871
11,"Vi, the Piltover Enforcer (Here Comes Vi) (From League of Legends: Season 2)",7slAKPvgzuKgaTTQgrxWUd,League of Legends,47mIJdHORyRerp4os813jD,The Music of League of Legends: Season 2 (Original Game Soundtrack),2019-10-08,161348,False,28,43,2024-11-06,0.519,0.684,9,-15.448,1,0.0429,0.000855,4.67e-05,0.366,0.665,149.985,4,"['speedrun', 'video game music']",79,1915066
12,"Pantheon, the Unbreakable Spear (From League of Legends: Season 9)",2WuZNdPwSKkGCTKapd3GhG,League of Legends,47mIJdHORyRerp4os813jD,The Music of League of Legends: Season 9 (Original Game Soundtrack),2019-10-15,218274,False,8,42,2024-11-06,0.366,0.504,10,-10.154,1,0.036,0.0182,0.885,0.0916,0.144,137.984,3,"['speedrun', 'video game music']",79,1915066
13,Final Fantasy VIII: Liberi Fatali,2xGDOy0pPf7XQSBhvJ9lzn,Nobuo Uematsu,3V79CTgRnsDdJSTqKitROv,The Greatest Video Game Music,2011-11-18,194172,False,5,26,2024-11-06,0.375,0.408,10,-14.478,1,0.0496,0.776,0.0383,0.0887,0.198,152.057,4,"['chiptune', 'japanese classical', 'japanese vgm', 'orchestral soundtrack', 'video game music']",62,328871
14,Skyrim - Age of Oppression,62W7SoneY4BEZe8VXsKZNW,Jeremy Soule,77yY2QmM6bYvjJ3y5L2R0v,The Greatest Video Game Music III - Choral Edition,2016-01-29,235333,False,3,28,2024-11-06,0.181,0.127,2,-15.874,0,0.0377,0.978,0.0147,0.0964,0.074,83.331,4,"['orchestral soundtrack', 'scorecore', 'video game music']",68,167640
15,Mass Effect 2: Suicide Mission,2ZrSFxVUAvbgVMqYTkfx3B,Jack Wall,0ttsFiIQxBWmfS1JPgTZ6o,The Greatest Video Game Music,2011-11-18,291604,False,15,26,2024-11-06,0.55,0.306,2,-12.69,0,0.0295,0.733,0.952,0.119,0.0956,116.998,1,['video game music'],52,45909
16,"Jhin, the Virtuoso (From League of Legends: Season 6)",7hq8Hvxmqw5muIwGDUCgMH,League of Legends,47mIJdHORyRerp4os813jD,The Music of League of Legends: Season 6 (Original Game Soundtrack),2019-10-12,260096,False,13,39,2024-11-06,0.118,0.317,0,-13.688,0,0.0363,0.296,0.636,0.083,0.0441,71.467,4,"['speedrun', 'video game music']",79,1915066
17,"Assassin’s Creed Theme (from ""Assassin's Creed Revelations"")",1ADUOH7PsmbvXeLOXToPIQ,Lorne Balfe,6dU7gPN2BhEPfO5QHLt7es,Game Music,2012-10-23,261426,False,2,8,2024-11-06,0.16,0.158,0,-19.502,0,0.0397,0.428,0.783,0.114,0.0393,82.786,3,"['british soundtrack', 'epicore', 'orchestral soundtrack', 'soundtrack', 'video game music']",60,82595
18,World of Warcraft: Seasons of War,0C6MXVVI5JWJCDh7WA8oqx,Jason Hayes,1RGNzkIbAdJlqJooCykfG8,The Greatest Video Game Music,2011-11-18,192908,False,9,25,2024-11-06,0.218,0.221,6,-18.846,0,0.0388,0.863,0.533,0.0915,0.0486,108.378,4,['video game music'],50,12798
19,Bioshock: The Ocean on His Shoulders,3VJKUA38YDt4Nqi2nCjbd3,Garry Schyman,1YuZMruVps9jS4T0WftHP8,The Greatest Video Game Music,2011-11-18,139505,False,18,24,2024-11-06,0.0797,0.13,9,-26.171,0,0.0549,0.78,0.931,0.109,0.0725,81.414,4,['video game music'],26,4339
20,The valedictory elegy,28qrrqOgaipM1VCsaAsOyI,Motoi Sakuraba,1DdhScDGl9AceKnbvgkFgz,Baten Kaitos Origins - Original Soundtrack,2023-09-12,167293,False,4,15,2024-11-06,0.488,0.916,7,-6.806,1,0.0519,0.188,0.964,0.351,0.644,97.234,4,"['japanese vgm', 'video game music']",48,46330
