,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Texas Sun,24ntSW3QVJzR79lHAAOTaY,Khruangbin,2mVVjNmdjXZZDvhgQWiakk,Texas Sun,2020-02-07,252811,False,1,73,2024-11-06,0.636,0.634,7,-10.01,1,0.0342,0.0364,0.147,0.0998,0.599,111.563,4,"['indie soul', 'neo-psychedelic', 'world']",73,1943437
1,Oceans (Where Feet May Fail),5Mw9bXG1dLNhbjofkVS2oR,Hillsong UNITED,74cb3MG0x0BOnYNW1uXYnM,Zion (Deluxe Edition),2013-02-26,535962,False,4,66,2024-11-06,0.262,0.361,2,-10.187,1,0.0335,0.509,0.0028,0.109,0.0559,126.316,4,"['ccm', 'christian music', 'world worship', 'worship']",71,4069856
2,What A Beautiful Name,4KLj9QjEhJl2WU50mxRF9Z,Hillsong Worship,3SgHzT552wy2W8pNLaLk24,What A Beautiful Name,2017-01-06,238200,False,1,65,2024-11-06,0.424,0.506,2,-5.877,1,0.0284,0.201,0.0,0.11,0.138,135.902,4,"['ccm', 'christian music', 'world worship', 'worship']",75,6220188
3,Me Gustas Tu,6b37xrsNCWYIUphFBazqD6,Manu Chao,6wH6iStAh4KIaWfuhf0NYM,Próxima Estación: Esperanza,2001-06-01,239986,False,6,78,2024-11-06,0.657,0.741,11,-6.822,0,0.0825,0.663,0.494,0.222,0.908,175.949,4,"['latin alternative', 'world']",72,1828274
4,God Only Knows,4ElNxglBjcrASiGn58t9Jm,for KING & COUNTRY,3sDbKMebVH2VYcRSl7u1VC,Burn The Ships,2018-10-05,229760,False,3,64,2024-11-06,0.597,0.417,2,-7.952,1,0.0502,0.395,8.35e-06,0.128,0.263,143.839,4,"['ccm', 'christian alternative rock', 'christian indie', 'christian music', 'world worship']",67,1340272
5,So Will I (100 Billion X),1ed3wNCecRIp6SugyR0w2J,Hillsong UNITED,74cb3MG0x0BOnYNW1uXYnM,Wonder,2017-06-09,411000,False,4,62,2024-11-06,0.418,0.417,9,-10.375,1,0.0297,0.0466,1.86e-06,0.144,0.177,127.975,4,"['ccm', 'christian music', 'world worship', 'worship']",71,4069856
6,GOODBYE YESTERDAY,2Ek6vXzVHY9qWvkAy4OUQR,ELEVATION RHYTHM,0qZ8aSF0iMCQI99AAXikF8,GOODBYE YESTERDAY,2024-05-03,298682,False,1,64,2024-11-06,0.414,0.905,8,-4.457,1,0.118,0.000269,0.0,0.446,0.329,75.142,4,"['ccm', 'world worship', 'worship']",63,199595
7,For God Is With Us,0CQPPHjPpG4kAzvfOcKvh8,for KING & COUNTRY,3sDbKMebVH2VYcRSl7u1VC,What Are We Waiting For?,2022-03-11,196846,False,5,64,2024-11-06,0.338,0.643,4,-7.093,0,0.0681,0.0102,1.98e-05,0.11,0.15,75.571,4,"['ccm', 'christian alternative rock', 'christian indie', 'christian music', 'world worship']",67,1340272
8,Mariella,3dvXRk7TZ929m21p49RR5P,Khruangbin,2mVVjNmdjXZZDvhgQWiakk,Texas Moon,2022-02-18,310553,False,5,68,2024-11-06,0.593,0.576,2,-10.331,1,0.032,0.526,0.718,0.0827,0.559,109.935,4,"['indie soul', 'neo-psychedelic', 'world']",73,1943437
9,Goodness of God (Live),0HE3SH6fvxdRIUq54HjVq0,Bethel Music,26T4yOaOoFJvUvxR87Y9HO,Victory (Live),2019-01-25,296400,False,2,65,2024-11-06,0.466,0.669,8,-4.701,1,0.0297,0.156,0.0,0.145,0.396,126.143,4,"['ambient worship', 'ccm', 'deep ccm', 'world worship', 'worship']",72,1939352
10,PRAISES (remix),1JlDJFcBJ3BSiyuokxOA1l,ELEVATION RHYTHM,0qZ8aSF0iMCQI99AAXikF8,PRAISES (remix),2024-02-02,170353,False,1,63,2024-11-06,0.685,0.646,1,-5.915,1,0.0401,0.115,0.0,0.371,0.609,143.983,4,"['ccm', 'world worship', 'worship']",63,199595
