,track_name,track_id,artist_name,artist_id,album_name,release_date,duration_ms,explicit,track_number,popularity,data_collection_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,artist_followers
0,Casanova,6PdyAh40uA1NagILQQVqyW,Keith Frank,0bHBHjR650qOW4vgWU4E4L,Loved. Feared. Respected.,2009-05-26,282946,False,2,34,2024-11-06,0.753,0.744,5,-5.228,1,0.0576,0.0267,0.00015,0.161,0.971,78.82,4,"['swamp pop', 'zydeco']",34,19095
1,That Butt Thing,1On3zY7BCVo7slGhNDhPlx,Horace Trahan,7t5W4hJdnzBt1xePwTjseA,That Butt Thing,2008-01-01,133629,False,3,34,2024-11-06,0.722,0.667,10,-8.08,1,0.0666,0.691,0.00126,0.0313,0.927,75.916,4,"['swamp pop', 'zydeco']",27,4683
2,Take My Hand,3jz9pzisivCijrIXvyt6PK,Wayne Toups,7G8P56tQgw4QNhGxeic5oS,Toups: The New Blues Sessions,1997-10-14,266960,False,6,31,2024-11-06,0.604,0.48,11,-8.983,1,0.0315,0.0787,0.0,0.105,0.553,142.686,4,"['bosstown sound', 'cajun', 'swamp pop', 'zydeco']",35,16668
3,Tupelo Honey,4eAhcwVAUIsautuiO6RGOO,Wayne Toups,7G8P56tQgw4QNhGxeic5oS,Blast From The Bayou,1989-01-01,316040,False,4,31,2024-11-06,0.683,0.47,9,-8.653,1,0.0312,0.351,0.0,0.226,0.347,121.995,4,"['bosstown sound', 'cajun', 'swamp pop', 'zydeco']",35,16668
4,Put n' Work,1usiAK3HyMC9JvejNZ0chp,Chris Ardoin,0ejKajmLi2MClrte6SV5BC,Back Home,2014-02-25,248063,False,6,31,2024-11-06,0.693,0.778,1,-7.807,0,0.038,0.11,0.00193,0.0327,0.976,149.956,4,['zydeco'],32,17841
5,Stallion,6dP1PWgtAJOWA3b3Qa8R2u,Chris Ardoin,0ejKajmLi2MClrte6SV5BC,M.V.P.,2007-04-17,214013,False,1,30,2024-11-06,0.613,0.846,9,-5.166,0,0.034,0.144,0.0,0.0879,0.898,164.885,4,['zydeco'],32,17841
6,La danse de Mardi Gras,4DzulM7McOqTZ4OSmLJUmF,The Balfa Brothers,3oXyi8Qg1omMK96jXg8Wic,"The Balfa Brothers Play Traditional Cajun Music, Vol. 1 & 2",1990-07-18,142240,False,5,33,2024-11-06,0.56,0.264,7,-16.773,1,0.0325,0.531,0.0,0.43,0.916,90.895,4,"['cajun', 'zydeco']",26,5809
7,I Got Loaded,6m7DBPYA9MjDIbDrg5EHOS,Keith Frank & The Soileau Zydeco Band,02tyD6uuhrGHotsQDbmoW2,Ready Or Not,2000-03-14,224066,False,5,28,2024-11-06,0.622,0.78,9,-6.042,0,0.137,0.0761,6e-06,0.194,0.782,172.127,4,"['cajun', 'swamp pop', 'zydeco']",24,8931
8,Tee Nah Nah,7pClRqhqUG2EyO3QUDKJg1,Buckwheat Zydeco,31ioFU3ADV6npBP7ykNvtF,Waitin' For My Ya Ya,1985-01-01,284800,False,8,29,2024-11-06,0.509,0.555,3,-9.263,1,0.0328,0.461,0.00299,0.0523,0.959,136.549,1,['zydeco'],29,19884
9,Two-Step Mamou,5Qpx4EJgDhpxITNeqRwrAX,Zydecajun,5Qb9Imdm56SW3Y2wcI94K5,Blast From The Bayou,1989-01-01,204973,False,6,27,2024-11-06,0.432,0.866,2,-9.14,1,0.0587,0.0636,0.00707,0.291,0.612,176.049,4,"['cajun', 'swamp pop', 'zydeco']",31,1877
